会場CD,会場,1コース1着率,2コース1着率,3コース1着率,4コース1着率,5コース1着率,6コース1着率,非1最大1着率,非1最有力コース,イン優位差,2-4コース1着率合計,イン特性区分,会場選別補正,予想時の利用方針,集計期間,出典URL
01,桐生,52.2,12.7,14.4,10.6,7.6,3.1,14.4,3,37.8,37.7,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=01
02,戸田,38.7,17.7,18.0,15.8,7.8,2.9,18.0,3,20.7,51.5,D: 低イン,-2,1号艇を会場だけで保護しない。非1号艇Aへの会場ペナルティなし。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=02
03,江戸川,45.4,17.2,16.7,12.2,6.8,3.3,17.2,2,28.2,46.1,D: 低イン,-2,1号艇を会場だけで保護しない。非1号艇Aへの会場ペナルティなし。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=03
04,平和島,44.7,18.9,18.5,11.2,6.4,1.7,18.9,2,25.8,48.6,D: 低イン,-2,1号艇を会場だけで保護しない。非1号艇Aへの会場ペナルティなし。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=04
05,多摩川,57.1,13.3,11.7,10.0,6.1,2.1,13.3,2,43.8,35.0,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=05
06,浜名湖,56.2,11.9,13.5,10.1,6.8,2.4,13.5,3,42.7,35.5,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=06
07,蒲郡,54.4,14.0,12.0,10.6,7.3,2.5,14.0,2,40.4,36.6,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=07
08,常滑,60.1,13.0,10.2,9.8,5.3,2.0,13.0,2,47.1,33.0,S: 強イン,2,1号艇A候補を強く保護。非1号艇Aは会場面でも厳格化。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=08
09,津,55.0,16.1,11.9,11.0,5.5,1.6,16.1,2,38.9,39.0,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=09
10,三国,50.3,16.0,14.3,11.7,6.2,2.5,16.0,2,34.3,42.0,C: やや低イン,-1,1号艇保護を弱める。非1号艇の比較優位を素直に評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=10
11,びわこ,55.2,14.1,15.4,7.6,6.6,1.8,15.4,3,39.8,37.1,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=11
12,住之江,56.2,15.2,13.1,10.7,3.5,1.8,15.2,2,41.0,39.0,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=12
13,尼崎,61.5,12.2,12.2,9.4,4.3,0.9,12.2,2,49.3,33.8,S: 強イン,2,1号艇A候補を強く保護。非1号艇Aは会場面でも厳格化。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=13
14,鳴門,53.9,14.0,14.5,11.2,6.0,1.6,14.5,3,39.4,39.7,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=14
15,丸亀,56.1,13.7,12.9,10.3,5.5,2.3,13.7,2,42.4,36.9,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=15
16,児島,52.9,12.2,14.8,12.1,7.5,1.1,14.8,3,38.1,39.1,B: 標準,0,会場補正は原則中立。選手相対比較を優先。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=16
17,宮島,57.5,13.2,11.5,10.7,6.0,1.6,13.2,2,44.3,35.4,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=17
18,徳山,63.9,13.6,9.6,6.8,5.8,0.7,13.6,2,50.3,30.0,S: 強イン,2,1号艇A候補を強く保護。非1号艇Aは会場面でも厳格化。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=18
19,下関,62.2,11.1,11.0,9.6,5.1,1.5,11.1,2,51.1,31.7,S: 強イン,2,1号艇A候補を強く保護。非1号艇Aは会場面でも厳格化。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=19
20,若松,58.9,13.7,10.9,10.5,4.9,1.5,13.7,2,45.2,35.1,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=20
21,芦屋,58.8,10.2,13.5,9.7,7.0,1.8,13.5,3,45.3,33.4,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=21
22,福岡,59.0,14.3,15.9,7.2,3.1,1.3,15.9,3,43.1,37.4,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=22
23,唐津,57.4,14.5,12.0,10.4,5.4,1.4,14.5,2,42.9,36.9,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=23
24,大村,57.6,11.7,12.0,9.7,7.5,2.1,12.0,3,45.6,33.4,A: イン有利,1,1号艇A候補をやや保護。非1号艇Aは慎重評価。,2026/05/01～2026/07/31,https://www.boatrace.jp/owpc/pc/data/stadium?jcd=24
