date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-03-01,中山,1,06252101,12:210,12:150;5:260;11:1730,3-7:840,5-12:1640,5-12:640;11-12:4370;5-11:8650,12-5:2150,5-11-12:35910,12-5-11:88140
2025-03-01,中山,2,06252102,9:540,9:150;15:110;12:140,5-8:610,9-15:630,9-15:270;9-12:350;12-15:240,9-15:1450,9-12-15:610,9-15-12:3840
2025-03-01,中山,3,06252103,16:570,16:180;8:210;4:140,4-8:1280,8-16:1920,8-16:720;4-16:370;4-8:400,16-8:3890,4-8-16:1940,16-8-4:12870
2025-03-01,中山,4,06252104,4:1350,4:220;1:170;3:250,1-4:1670,1-4:1430,1-4:460;3-4:960;1-3:450,4-1:4660,1-3-4:3170,4-1-3:25600
2025-03-01,中山,5,06252105,3:3900,3:1090;16:550;9:220,2-8:6770,3-16:37210,3-16:9380;3-9:3130;9-16:1730,3-16:79430,3-9-16:54630,3-16-9:307470
2025-03-01,中山,6,06252106,16:2630,16:570;2:110;5:900,1-8:770,2-16:1940,2-16:980;5-16:14300;2-5:1390,16-2:6210,2-5-16:21890,16-2-5:141420
2025-03-01,中山,7,06252107,8:230,8:120;4:230;6:110,4-8:1620,4-8:2010,4-8:580;6-8:160;4-6:470,8-4:2550,4-6-8:1030,8-4-6:6670
2025-03-01,中山,8,06252108,6:2000,6:690;8:1530;5:1980,3-4:4800,6-8:19760,6-8:4360;5-6:3920;5-8:9840,6-8:49910,5-6-8:130470,6-8-5:728220
2025-03-01,中山,9,06252109,4:6900,4:970;13:130;3:1810,4-8:2100,4-13:6350,4-13:2320;3-4:24260;3-13:3450,4-13:20910,3-4-13:105620,4-13-3:925300
2025-03-01,中山,10,06252110,9:310,9:140;16:160;10:480,5-8:340,9-16:570,9-16:290;9-10:1070;10-16:1230,9-16:1160,9-10-16:3720,9-16-10:13050
2025-03-01,中山,11,06252111,11:270,11:140;12:230;2:280,6-7:440,11-12:1270,11-12:520;2-11:590;2-12:1310,11-12:2060,2-11-12:4060,11-12-2:16290
2025-03-01,中山,12,06252112,10:170,10:120;3:140;4:340,3-6:320,3-10:330,3-10:210;4-10:640;3-4:1030,10-3:470,3-4-10:1740,10-3-4:4530
2025-03-01,阪神,1,09251101,3:1090,3:480;11:700;7:890,3-8:2990,3-11:9420,3-11:2220;3-7:2820;7-11:4010,3-11:21270,3-7-11:42700,3-11-7:312770
2025-03-01,阪神,2,09251102,14:220,14:110;3:350;8:400,2-7:1930,3-14:2160,3-14:800;8-14:700;3-8:4470,14-3:2750,3-8-14:9260,14-3-8:28660
2025-03-01,阪神,3,09251103,3:470,3:140;12:110;9:160,2-6:400,3-12:540,3-12:220;3-9:600;9-12:320,3-12:1330,3-9-12:1470,3-12-9:7060
2025-03-01,阪神,4,09251104,8:1140,8:330;2:150;4:120,1-4:1090,2-8:2290,2-8:860;4-8:740;2-4:260,8-2:4940,2-4-8:2460,8-2-4:16390
2025-03-01,阪神,5,09251105,12:290,12:140;16:140;7:230,6-8:800,12-16:940,12-16:390;7-12:660;7-16:970,12-16:1660,7-12-16:3390,12-16-7:14320
