date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-07-26,中京,1,07253101,1:1180,1:690;2:2430;12:570,1-2:10320,1-2:11000,1-2:3840;1-12:1550;2-12:3750,1-2:24730,1-2-12:36010,1-2-12:261310
2025-07-26,中京,2,07253102,6:2630,6:800;14:220;1:240,3-7:7720,6-14:9280,6-14:2980;1-6:3040;1-14:630,6-14:24450,1-6-14:17100,6-14-1:167470
2025-07-26,中京,3,07253103,6:210,6:110;3:110,,3-6:170,3-6:130;4-6:560;3-4:610,6-3:350,3-4-6:1190,6-3-4:3180
2025-07-26,中京,4,07253104,8:220,8:120;2:130;4:330,2-7:510,2-8:440,2-8:210;4-8:750;2-4:890,8-2:820,2-4-8:2020,8-2-4:5570
2025-07-26,中京,5,07253105,4:570,4:200;5:270;3:220,2-3:1130,4-5:2310,4-5:790;3-4:520;3-5:850,4-5:4230,3-4-5:3860,4-5-3:21110
2025-07-26,中京,6,07253106,15:1330,15:480;10:420;12:420,5-8:1660,10-15:8420,10-15:2620;12-15:2490;10-12:2260,15-10:15710,10-12-15:30410,15-10-12:177630
2025-07-26,中京,7,07253107,8:620,8:190;9:220;3:150,7-8:280,8-9:2940,8-9:930;3-8:560;3-9:560,8-9:4840,3-8-9:3610,8-9-3:23310
2025-07-26,中京,8,07253108,1:180,1:120;7:210,,1-7:530,1-7:210;1-4:280;4-7:780,1-7:700,1-4-7:1340,1-7-4:3930
2025-07-26,中京,9,07253109,2:230,2:140;7:340;3:490,,2-7:1630,2-7:570;2-3:1010;3-7:2260,2-7:2090,2-3-7:7020,2-7-3:20540
2025-07-26,中京,10,07253110,10:2970,10:590;11:570;8:140,8-8:23280,10-11:35060,10-11:8140;8-10:1210;8-11:1370,10-11:70150,8-10-11:26340,10-11-8:313280
2025-07-26,中京,11,07253111,9:610,9:210;11:250;14:710,6-7:810,9-11:3060,9-11:940;9-14:2660;11-14:3040,9-11:5780,9-11-14:19820,9-11-14:109520
2025-07-26,中京,12,07253112,10:240,10:110;5:110;9:160,5-8:200,5-10:290,5-10:160;9-10:270;5-9:280,10-5:510,5-9-10:410,10-5-9:1620
2025-07-26,新潟,1,04252101,4:200,4:110;3:110;8:150,,3-4:190,3-4:120;4-8:340;3-8:290,4-3:340,3-4-8:670,4-3-8:1780
2025-07-26,新潟,2,04252102,3:6950,3:1020;7:160;2:740,3-6:6640,3-7:10190,3-7:2370;2-3:8960;2-7:1690,3-7:27180,2-3-7:54580,3-7-2:560290
2025-07-26,新潟,3,04252103,6:320,6:160;3:180;5:840,2-3:680,3-6:1020,3-6:440;5-6:1900;3-5:2910,6-3:1940,3-5-6:8850,6-3-5:29880
2025-07-26,新潟,4,04252104,1:180,1:110;6:290;11:710,1-4:780,1-6:1490,1-6:640;1-11:1410;6-11:4350,1-6:1940,1-6-11:12630,1-6-11:29210
2025-07-26,新潟,5,04252105,9:230,9:120;10:160;8:160,5-5:610,9-10:720,9-10:250;8-9:270;8-10:520,9-10:1060,8-9-10:910,9-10-8:3600
2025-07-26,新潟,6,04252106,15:310,15:140;11:560;8:180,6-8:2440,11-15:3730,11-15:1190;8-15:340;8-11:1280,15-11:5320,8-11-15:4530,15-11-8:31480
2025-07-26,新潟,7,04252107,6:240,6:130;4:140;10:520,4-6:390,4-6:400,4-6:210;6-10:1220;4-10:1630,6-4:680,4-6-10:3500,6-4-10:8700
2025-07-26,新潟,8,04252108,9:990,9:260;7:210;10:140,5-6:900,7-9:3730,7-9:1200;9-10:610;7-10:500,9-7:7740,7-9-10:4540,9-7-10:37470
2025-07-26,新潟,9,04252109,2:3580,2:590;6:140;11:320,2-4:2160,2-6:2380,2-6:1000;2-11:5230;6-11:670,2-6:10220,2-6-11:10210,2-6-11:100440
2025-07-26,新潟,10,04252110,6:3910,6:820;12:520;4:510,4-7:2750,6-12:20320,6-12:5050;4-6:5980;4-12:3290,6-12:59110,4-6-12:69790,6-12-4:595040
2025-07-26,新潟,11,04252111,3:1240,3:330;6:1060;8:190,3-4:4560,3-6:24990,3-6:7060;3-8:780;6-8:2660,3-6:39910,3-6-8:29960,3-6-8:304230
2025-07-26,新潟,12,04252112,4:4190,4:1010;10:260;1:440,2-5:6520,4-10:9170,4-10:2280;1-4:2680;1-10:790,4-10:23690,1-4-10:17420,4-10-1:170630
2025-07-26,札幌,1,01251101,3:480,3:130;4:110;2:140,3-4:590,3-4:640,3-4:240;2-3:360;2-4:260,3-4:1500,2-3-4:750,3-4-2:4960
2025-07-26,札幌,2,01251102,9:160,9:110;2:190;12:170,2-7:830,2-9:820,2-9:330;9-12:340;2-12:1130,9-2:960,2-9-12:1610,9-2-12:5000
2025-07-26,札幌,3,01251103,12:200,12:110;13:230;5:120,7-8:570,12-13:1020,12-13:430;5-12:180;5-13:600,12-13:1420,5-12-13:1150,12-13-5:4450
2025-07-26,札幌,4,01251104,8:400,8:170;14:250;4:190,5-8:940,8-14:1490,8-14:590;4-8:520;4-14:1010,8-14:2840,4-8-14:2830,8-14-4:15410
