date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-08-02,中京,1,07253301,5:130,5:110;2:180,,2-5:300,2-5:130;3-5:120;2-3:220,5-2:360,2-3-5:250,5-2-3:590
2025-08-02,中京,2,07253302,5:190,5:110;7:120,,5-7:230,5-7:140;3-5:1450;3-7:1860,5-7:350,3-5-7:3760,5-7-3:8700
2025-08-02,中京,3,07253303,11:1840,11:290;16:160;13:110,6-8:2350,11-16:3870,11-16:940;11-13:510;13-16:210,11-16:10160,11-13-16:1530,11-16-13:20780
2025-08-02,中京,4,07253304,1:300,1:150;14:200;3:130,1-8:1470,1-14:2270,1-14:610;1-3:240;3-14:400,1-14:2800,1-3-14:1590,1-14-3:11070
2025-08-02,中京,5,07253305,11:360,11:140;1:120;16:910,1-6:530,1-11:490,1-11:220;11-16:2910;1-16:2490,11-1:960,1-11-16:8410,11-1-16:35890
2025-08-02,中京,6,07253306,8:810,8:260;1:240;7:330,1-6:1940,1-8:2660,1-8:800;7-8:1110;1-7:1140,8-1:5520,1-7-8:8080,8-1-7:44570
2025-08-02,中京,7,07253307,4:580,4:210;11:180;6:210,4-7:2300,4-11:2110,4-11:650;4-6:620;6-11:730,4-11:4700,4-6-11:4540,4-11-6:28950
2025-08-02,中京,8,07253308,13:180,13:110;5:210;1:300,4-8:630,5-13:740,5-13:360;1-13:570;1-5:1190,13-5:1180,1-5-13:3350,13-5-1:7970
2025-08-02,中京,9,07253309,1:340,1:140;10:160;8:210,1-8:710,1-10:690,1-10:330;1-8:410;8-10:530,1-10:1330,1-8-10:1300,1-10-8:6450
2025-08-02,中京,10,07253310,6:420,6:160;9:130;8:570,5-6:360,6-9:680,6-9:290;6-8:2760;8-9:1040,6-9:1690,6-8-9:5240,6-9-8:25040
2025-08-02,中京,11,07253311,7:410,7:170;12:210;2:230,5-8:930,7-12:1940,7-12:750;2-7:770;2-12:790,7-12:3000,2-7-12:4940,7-12-2:18390
2025-08-02,中京,12,07253312,6:1820,6:420;8:160;9:270,3-4:2540,6-8:3000,6-8:1010;6-9:2600;8-9:660,6-8:9260,6-8-9:9530,6-8-9:75620
2025-08-02,新潟,1,04252301,14:480,14:140;11:110;6:190,7-8:500,11-14:590,11-14:250;6-14:480;6-11:280,14-11:1390,6-11-14:1340,14-11-6:6860
2025-08-02,新潟,2,04252302,11:600,11:170;13:160;5:130,6-7:870,11-13:1700,11-13:520;5-11:330;5-13:380,11-13:3510,5-11-13:1540,11-13-5:9950
2025-08-02,新潟,3,04252303,4:1150,4:360;12:280;7:290,4-8:3910,4-12:8120,4-12:2220;4-7:1600;7-12:1060,4-12:20420,4-7-12:24410,4-12-7:162830
2025-08-02,新潟,4,04252304,5:460,5:180;4:140;13:1310,4-4:660,4-5:640,4-5:290;5-13:4740;4-13:3470,5-4:1490,4-5-13:16140,5-4-13:60410
2025-08-02,新潟,5,04252305,2:7510,2:920;9:140;14:210,2-5:5200,2-9:12200,2-9:3040;2-14:5440;9-14:400,2-9:36760,2-9-14:14640,2-9-14:233060
2025-08-02,新潟,6,04252306,5:260,5:150;1:180;9:400,1-3:600,1-5:630,1-5:370;5-9:1270;1-9:1680,5-1:980,1-5-9:4610,5-1-9:13530
