date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-09-06,中山,1,06254101,5:200,5:110;3:140;8:130,3-5:830,3-5:790,3-5:280;5-8:190;3-8:500,5-3:1220,3-5-8:840,5-3-8:3610
2025-09-06,中山,2,06254102,10:790,10:310;8:180;5:2180,6-7:780,8-10:1370,8-10:540;5-10:8420;5-8:4510,10-8:3250,5-8-10:35810,10-8-5:146750
2025-09-06,中山,3,06254103,1:180,1:110;6:110;4:120,1-6:360,1-6:330,1-6:150;1-4:170;4-6:240,1-6:500,1-4-6:350,1-6-4:1050
2025-09-06,中山,4,06254104,10:1890,10:370;14:250;11:230,5-7:1350,10-14:4510,10-14:1360;10-11:1370;11-14:760,10-14:9230,10-11-14:9410,10-14-11:69150
2025-09-06,中山,5,06254105,5:720,5:220;4:170;8:160,2-3:1260,4-5:1900,4-5:650;5-8:540;4-8:420,5-4:4040,4-5-8:2540,5-4-8:16330
2025-09-06,中山,6,06254106,3:290,3:130;12:130;16:290,2-6:480,3-12:590,3-12:250;3-16:840;12-16:730,3-12:1170,3-12-16:2790,3-12-16:11650
2025-09-06,中山,7,06254107,3:750,3:280;11:280;2:570,2-6:2400,3-11:3440,3-11:1150;2-3:1350;2-11:2690,3-11:6940,2-3-11:16320,3-11-2:77510
2025-09-06,中山,8,06254108,4:310,4:120;2:110,,2-4:150,2-4:110;4-6:450;2-6:390,4-2:430,2-4-6:700,4-2-6:2250
2025-09-06,中山,9,06254109,6:510,6:150;8:110;1:180,6-7:330,6-8:360,6-8:180;1-6:670;1-8:330,6-8:1000,1-6-8:1330,6-8-1:6950
2025-09-06,中山,10,06254110,8:300,8:110;7:110;5:140,,7-8:200,7-8:130;5-8:270;5-7:250,8-7:520,5-7-8:420,8-7-5:1830
2025-09-06,中山,11,06254111,1:8950,1:1670;3:600;7:250,1-2:3730,1-3:51340,1-3:11450;1-7:6480;3-7:2170,1-3:107070,1-3-7:88130,1-3-7:934100
2025-09-06,中山,12,06254112,14:300,14:150;10:620;8:230,5-7:5510,10-14:6980,10-14:2410;8-14:500;8-10:2320,14-10:11420,8-10-14:12860,14-10-8:61630
2025-09-06,札幌,1,01252501,5:240,5:110;3:130;6:190,3-5:360,3-5:380,3-5:180;5-6:320;3-6:510,5-3:610,3-5-6:730,5-3-6:2490
2025-09-06,札幌,2,01252502,11:370,11:140;2:420;8:180,2-8:2430,2-11:5410,2-11:1140;8-11:350;2-8:1590,11-2:8770,2-8-11:5780,11-2-8:34580
2025-09-06,札幌,3,01252503,2:540,2:170;6:240;11:130,2-5:2000,2-6:2120,2-6:590;2-11:310;6-11:550,2-6:3900,2-6-11:2020,2-6-11:15800
2025-09-06,札幌,4,01252504,6:1530,6:400;2:170;1:170,1-3:1600,2-6:3220,2-6:1120;1-6:1470;1-2:400,6-2:7310,1-2-6:5370,6-2-1:48570
2025-09-06,札幌,5,01252505,5:280,5:140;10:1060;2:170,5-8:2860,5-10:10820,5-10:2390;2-5:300;2-10:3170,5-10:10540,2-5-10:7810,5-10-2:53030
2025-09-06,札幌,6,01252506,1:970,1:320;7:250;10:340,1-5:3820,1-7:3660,1-7:1210;1-10:1970;7-10:940,1-7:7440,1-7-10:13880,1-7-10:74190
2025-09-06,札幌,7,01252507,14:280,14:130;2:950;1:200,2-8:7570,2-14:4850,2-14:3120;1-14:560;1-2:3680,14-2:11700,1-2-14:13880,14-2-1:83790
2025-09-06,札幌,8,01252508,1:530,1:190;10:210;3:130,1-6:1470,1-10:2580,1-10:910;1-3:360;3-10:580,1-10:4060,1-3-10:3180,1-10-3:18320
2025-09-06,札幌,9,01252509,6:670,6:220;7:120;4:400,4-4:920,6-7:840,6-7:430;4-6:1230;4-7:760,6-7:1960,4-6-7:3050,6-7-4:14140
2025-09-06,札幌,10,01252510,10:720,10:280;8:170;2:200,4-5:1990,8-10:2050,8-10:870;2-10:810;2-8:470,10-8:4050,2-8-10:3000,10-8-2:17030
2025-09-06,札幌,11,01252511,4:340,4:170;1:590;11:170,1-4:6330,1-4:4640,1-4:1370;4-11:460;1-11:1580,4-1:6300,1-4-11:6410,4-1-11:32110
