date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-10-04,東京,1,05254101,13:630,13:180;14:110;6:480,7-7:360,13-14:400,13-14:230;6-13:2710;6-14:910,13-14:1250,6-13-14:3640,13-14-6:21820
2025-10-04,東京,2,05254102,1:420,1:160;5:190;3:180,1-5:1240,1-5:1070,1-5:410;1-3:450;3-5:570,1-5:2030,1-3-5:2190,1-5-3:8290
2025-10-04,東京,3,05254103,1:570,1:210;9:220;16:340,1-5:2280,1-9:2480,1-9:680;1-16:1290;9-16:1190,1-9:4820,1-9-16:8310,1-9-16:46070
2025-10-04,東京,4,05254104,11:740,11:190;1:110;7:150,1-8:720,1-11:890,1-11:400;7-11:670;1-7:240,11-1:2390,1-7-11:1490,11-1-7:12380
2025-10-04,東京,5,05254105,3:410,3:180;5:340;14:230,2-3:1640,3-5:2430,3-5:1010;3-14:670;5-14:1160,3-5:4170,3-5-14:5450,3-5-14:33910
2025-10-04,東京,6,05254106,10:2610,10:330;13:110;5:240,5-7:350,10-13:2320,10-13:700;5-10:2660;5-13:420,10-13:7840,5-10-13:5610,10-13-5:72320
2025-10-04,東京,7,05254107,7:1280,7:270;6:170;2:150,6-7:580,6-7:2980,6-7:890;2-7:650;2-6:300,7-6:5350,2-6-7:3270,7-6-2:25980
2025-10-04,東京,8,05254108,12:1480,12:320;2:140;11:200,1-6:650,2-12:1550,2-12:670;11-12:1140;2-11:400,12-2:5260,2-11-12:3870,12-2-11:29780
2025-10-04,東京,9,05254109,6:7870,6:860;2:250;1:110,2-5:6730,2-6:24890,2-6:4190;1-6:1460;1-2:430,6-2:66380,1-2-6:10640,6-2-1:244130
2025-10-04,東京,10,05254110,2:1270,2:360;13:470;7:220,2-7:3880,2-13:11230,2-13:3280;2-7:1440;7-13:1740,2-13:21850,2-7-13:21460,2-13-7:190470
2025-10-04,東京,11,05254111,7:840,7:290;14:270;12:1200,4-7:1980,7-14:2150,7-14:920;7-12:4820;12-14:4760,7-14:5900,7-12-14:29380,7-14-12:176640
2025-10-04,東京,12,05254112,2:1130,2:310;1:230;14:270,1-1:2510,1-2:2680,1-2:930;2-14:1740;1-14:1040,2-1:6190,1-2-14:9450,2-1-14:60940
2025-10-04,京都,1,08253101,7:450,7:190;3:220;12:290,3-5:520,3-7:2230,3-7:850;7-12:1020;3-12:780,7-3:4160,3-7-12:5870,7-3-12:33320
2025-10-04,京都,2,08253102,4:720,4:120;3:100;6:300,,3-4:220,3-4:140;4-6:770;3-6:430,4-3:900,3-4-6:1580,4-3-6:8230
2025-10-04,京都,3,08253103,11:210,11:110;14:170;12:130,6-7:580,11-14:1140,11-14:380;11-12:210;12-14:500,11-14:1840,11-12-14:1150,11-14-12:5580
2025-10-04,京都,4,08253104,5:130,5:110;3:380;6:2180,3-4:670,3-5:950,3-5:430;5-6:2840;3-6:12020,5-3:1040,3-5-6:26290,5-3-6:52010
2025-10-04,京都,5,08253105,6:510,6:180;11:160;7:500,4-7:480,6-11:1050,6-11:410;6-7:2150;7-11:1500,6-11:2330,6-7-11:8160,6-11-7:35980
2025-10-04,京都,6,08253106,13:2960,13:550;5:270;14:170,3-7:720,5-13:7510,5-13:2250;13-14:1260;5-14:650,13-5:17030,5-13-14:11980,13-5-14:84610
2025-10-04,京都,7,08253107,16:840,16:410;2:480;6:410,1-8:3500,2-16:9920,2-16:3780;6-16:3130;2-6:2570,16-2:19720,2-6-16:43330,16-2-6:167590
2025-10-04,京都,8,08253108,2:1690,2:380;12:300;10:150,2-8:5830,2-12:6030,2-12:1780;2-10:960;10-12:660,2-12:12990,2-10-12:6350,2-12-10:61830
2025-10-04,京都,9,08253109,6:1880,6:420;5:180;3:420,,5-6:4720,5-6:1250;3-6:2160;3-5:950,6-5:10720,3-5-6:11130,6-5-3:79170
2025-10-04,京都,10,08253110,9:900,9:300;15:150;16:230,5-8:1410,9-15:2290,9-15:910;9-16:1010;15-16:460,9-15:4370,9-15-16:3690,9-15-16:20610
2025-10-04,京都,11,08253111,3:570,3:210;11:150;7:220,2-6:1260,3-11:1470,3-11:660;3-7:1030;7-11:520,3-11:3110,3-7-11:3280,3-11-7:18350
2025-10-04,京都,12,08253112,2:160,2:110;4:190;1:300,2-4:340,2-4:430,2-4:250;1-2:410;1-4:1010,2-4:580,1-2-4:1320,2-4-1:3710
2025-10-13,東京,1,05254501,4:250,4:150;5:120;14:390,3-3:440,4-5:410,4-5:260;4-14:940;5-14:820,4-5:660,4-5-14:2080,4-5-14:5650
2025-10-13,東京,2,05254502,4:1270,4:760;13:370;7:820,4-8:2160,4-13:3540,4-13:1030;4-7:1730;7-13:720,4-13:9940,4-7-13:9590,4-13-7:65260
2025-10-13,東京,3,05254503,9:150,9:110;10:170;11:220,7-7:480,9-10:490,9-10:240;9-11:390;10-11:700,9-10:660,9-10-11:1260,9-10-11:3130
2025-10-13,東京,4,05254504,7:450,7:140;6:110;2:1690,4-5:370,6-7:380,6-7:180;2-7:5040;2-6:3140,7-6:950,2-6-7:11830,7-6-2:50770
2025-10-13,東京,5,05254505,5:3060,5:790;9:260;8:670,4-6:2460,5-9:9160,5-9:2320;5-8:4980;8-9:1910,5-9:22410,5-8-9:33400,5-9-8:222460
2025-10-13,東京,6,05254506,4:600,4:180;6:230;10:220,2-3:2020,4-6:1980,4-6:650;4-10:700;6-10:970,4-6:3470,4-6-10:3760,4-6-10:18860
2025-10-13,東京,7,05254507,1:720,1:270;16:230;7:430,1-8:690,1-16:1600,1-16:790;1-7:1190;7-16:1230,1-16:4020,1-7-16:7460,1-16-7:29460
2025-10-13,東京,8,05254508,1:540,1:580;2:1780,,1-2:3900,1-2:660;1-3:160;2-3:360,1-2:6090,1-2-3:850,1-2-3:13310
2025-10-13,東京,9,05254509,1:150,1:110;10:1310;15:830,1-5:670,1-10:6850,1-10:3600;1-15:1170;10-15:23420,1-10:7950,1-10-15:44550,1-10-15:120890
2025-10-13,東京,10,05254510,1:280,1:110;5:160;8:110,,1-5:1430,1-5:360;1-8:140;5-8:340,1-5:2140,1-5-8:620,1-5-8:4430
2025-10-13,東京,11,05254511,8:4700,8:1010;16:280;1:320,4-8:1330,8-16:20580,8-16:5340;1-8:3960;1-16:1620,8-16:43060,1-8-16:37520,8-16-1:345360
2025-10-13,東京,12,05254512,15:610,15:180;14:150;9:270,7-8:720,14-15:1000,14-15:420;9-15:930;9-14:770,15-14:1960,9-14-15:2950,15-14-9:16090
2025-10-13,京都,1,08253501,8:870,8:150;1:110;5:120,,1-8:680,1-8:260;5-8:390;1-5:170,8-1:1840,1-5-8:780,8-1-5:6510
2025-10-13,京都,2,08253502,9:420,9:120;7:110;5:110,7-8:560,7-9:700,7-9:210;5-9:180;5-7:130,9-7:1500,5-7-9:360,9-7-5:3270
2025-10-13,京都,3,08253503,13:4550,13:1150;16:190;2:220,7-8:2570,13-16:13380,13-16:3770;2-13:4650;2-16:720,13-16:29980,2-13-16:29080,13-16-2:196740
2025-10-13,京都,4,08253504,8:490,8:220;2:160;1:360,2-6:1110,2-8:1150,2-8:530;1-8:1610;1-2:750,8-2:1560,1-2-8:3880,8-2-1:14010
2025-10-13,京都,5,08253505,10:720,10:200;8:160;6:220,7-8:1130,8-10:1570,8-10:560;6-10:1020;6-8:750,10-8:4170,6-8-10:4740,10-8-6:23920
2025-10-13,京都,6,08253506,12:470,12:190;5:150;6:330,3-7:1120,5-12:1140,5-12:510;6-12:840;5-6:880,12-5:2170,5-6-12:4310,12-5-6:19840
2025-10-13,京都,7,08253507,11:730,11:240;12:200;14:170,6-7:1770,11-12:2490,11-12:800;11-14:520;12-14:510,11-12:5260,11-12-14:2970,11-12-14:18720
2025-10-13,京都,8,08253508,6:420,6:160;11:200;3:190,5-7:440,6-11:1100,6-11:490;3-6:490;3-11:600,6-11:2570,3-6-11:2280,6-11-3:10020
2025-10-13,京都,9,08253509,9:640,9:130;11:110;8:110,7-8:530,9-11:610,9-11:210;8-9:280;8-11:140,9-11:1750,8-9-11:430,9-11-8:4030
2025-10-13,京都,10,08253510,2:160,2:110;5:160;6:170,2-5:390,2-5:430,2-5:200;2-6:280;5-6:650,2-5:620,2-5-6:1040,2-5-6:2520
2025-10-13,京都,11,08253511,7:750,7:230;4:1010;1:230,2-4:2490,4-7:14780,4-7:3660;1-7:870;1-4:5320,7-4:22150,1-4-7:30920,7-4-1:168690
2025-10-13,京都,12,08253512,13:1020,13:270;9:230;14:180,5-7:1250,9-13:3000,9-13:970;13-14:650;9-14:600,13-9:6380,9-13-14:3620,13-9-14:28290
2025-10-25,新潟,1,04254301,5:340,5:170;13:140;12:1790,3-7:940,5-13:800,5-13:360;5-12:5840;12-13:3840,5-13:1460,5-12-13:16690,5-13-12:49300
2025-10-25,新潟,2,04254302,4:240,4:140;8:210;5:1250,3-5:590,4-8:1030,4-8:410;4-5:2890;5-8:5850,4-8:1520,4-5-8:24420,4-8-5:80380
2025-10-25,新潟,3,04254303,12:250,12:130;7:140;1:230,5-8:540,7-12:490,7-12:250;1-12:350;1-7:630,12-7:830,1-7-12:1100,12-7-1:3150
