date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2026-08-09,中京,1,07262601,14:360,14:130;15:140;4:240,7-8:500,14-15:570,14-15:280;4-14:780;4-15:770,14-15:1200,4-14-15:2310,14-15-4:9210
2026-08-09,中京,2,07262602,2:550,2:120;3:110;1:110,2-3:600,2-3:560,2-3:210;1-2:220;1-3:140,2-3:1320,1-2-3:270,2-3-1:2310
2026-08-09,中京,3,07262603,6:150,6:100;2:100;7:120,,2-6:160,2-6:110;6-7:180;2-7:240,6-2:230,2-6-7:250,6-2-7:820
2026-08-09,中京,4,07262604,13:210,13:120;6:160;1:360,3-7:530,6-13:600,6-13:290;1-13:920;1-6:1540,13-6:1040,1-6-13:3540,13-6-1:9430
2026-08-09,中京,5,07262605,7:3860,7:700;8:330;14:130,4-4:20450,7-8:22900,7-8:5750;7-14:1780;8-14:750,7-8:51190,7-8-14:18430,7-8-14:245820
2026-08-09,中京,6,07262606,5:340,5:180;2:230,,2-5:790,2-5:240;1-5:180;1-2:210,5-2:1500,1-2-5:570,5-2-1:3990
2026-08-09,中京,7,07262607,2:3510,2:640;3:190;6:250,1-2:4520,2-3:9220,2-3:2260;2-6:2830;3-6:750,2-3:25490,2-3-6:19470,2-3-6:162460
2026-08-09,中京,8,07262608,11:160,11:110;4:140;2:140,4-8:390,4-11:380,4-11:210;2-11:220;2-4:450,11-4:520,2-4-11:630,11-4-2:1760
2026-08-09,中京,9,07262609,5:230,5:110;2:150;6:280,2-4:490,2-5:580,2-5:260;5-6:490;2-6:760,5-2:1010,2-5-6:1930,5-2-6:6650
2026-08-09,中京,10,07262610,6:26200,6:2310;11:210;2:150,3-6:8000,6-11:31950,6-11:8090;2-6:7330;2-11:580,6-11:120490,2-6-11:47830,6-11-2:635950
2026-08-09,中京,11,07262611,11:6640,11:1330;1:180;3:400,1-6:14280,1-11:16090,1-11:4220;3-11:10590;1-3:1020,11-1:37270,1-3-11:64070,11-1-3:566010
2026-08-09,中京,12,07262612,3:410,3:140;13:120;2:220,2-7:620,3-13:420,3-13:210;2-3:780;2-13:580,3-13:840,2-3-13:1770,3-13-2:10550
2026-08-09,新潟,1,04262601,8:200,8:130;11:210;15:820,4-6:700,8-11:710,8-11:370;8-15:1960;11-15:3330,8-11:1030,8-11-15:7670,8-11-15:19450
2026-08-09,新潟,2,04262602,6:280,6:140;7:200;5:130,6-6:1650,6-7:1670,6-7:580;5-6:230;5-7:540,6-7:2580,5-6-7:1390,6-7-5:7360
2026-08-09,新潟,3,04262603,3:600,3:270;1:240;7:370,1-2:2730,1-3:2660,1-3:960;3-7:1950;1-7:1530,3-1:4670,1-3-7:13440,3-1-7:51440
2026-08-09,新潟,4,04262604,10:350,10:130;12:110;8:170,6-7:280,10-12:290,10-12:170;8-10:380;8-12:250,10-12:710,8-10-12:540,10-12-8:2400
2026-08-09,新潟,5,04262605,11:830,11:270;3:220;10:440,2-6:1060,3-11:4050,3-11:1230;10-11:1420;3-10:3420,11-3:8970,3-10-11:19020,11-3-10:115100
2026-08-09,新潟,6,04262606,1:120,1:110;3:180;9:750,1-3:480,1-3:490,1-3:240;1-9:1340;3-9:3900,1-3:540,1-3-9:7160,1-3-9:14550
2026-08-09,新潟,7,04262607,4:2080,4:400;11:190;12:130,4-8:1840,4-11:5680,4-11:1550;4-12:870;11-12:330,4-11:13190,4-11-12:3980,4-11-12:43120
2026-08-09,新潟,8,04262608,17:420,17:170;11:130;8:250,6-8:350,11-17:690,11-17:300;8-17:980;8-11:460,17-11:1140,8-11-17:2430,17-11-8:9950
2026-08-09,新潟,9,04262609,15:4030,15:780;5:240;6:330,3-8:540,5-15:5710,5-15:1780;6-15:4650;5-6:800,15-5:18870,5-6-15:19990,15-5-6:206070
2026-08-09,新潟,10,04262610,5:230,5:130;7:110,,5-7:180,5-7:130;5-6:240;6-7:240,5-7:380,5-6-7:320,5-7-6:880
2026-08-09,新潟,11,04262611,8:4600,8:660;12:1220;3:130,4-6:16350,8-12:56950,8-12:13180;3-8:1570;3-12:2520,8-12:150050,3-8-12:36980,8-12-3:350990
