date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2026-07-05,函館,1,02261801,4:940,4:580;7:390;2:300,4-7:3860,4-7:3210,4-7:870;2-4:760;2-7:450,4-7:7120,2-4-7:4270,4-7-2:35920
2026-07-05,函館,2,02261802,10:180,10:110;3:120;7:130,3-7:410,3-10:460,3-10:200;7-10:210;3-7:290,10-3:710,3-7-10:530,10-3-7:1750
2026-07-05,函館,3,02261803,11:4460,11:420;1:130;13:110,1-7:980,1-11:4830,1-11:1230;11-13:960;1-13:190,11-1:17300,1-11-13:2540,11-1-13:44780
2026-07-05,函館,4,02261804,16:610,16:250;2:310;13:500,1-8:2080,2-16:2980,2-16:1060;13-16:2020;2-13:2620,16-2:5180,2-13-16:22300,16-2-13:80710
2026-07-05,函館,5,02261805,1:130,1:110;2:150,,1-2:290,1-2:130;1-3:130;2-3:210,1-2:370,1-2-3:230,1-2-3:710
2026-07-05,函館,6,02261806,6:560,6:160;16:140;12:120,3-8:1140,6-16:1400,6-16:550;6-12:350;12-16:220,6-16:2760,6-12-16:1320,6-16-12:10860
2026-07-05,函館,7,02261807,7:330,7:150;8:150;2:150,7-8:880,7-8:860,7-8:350;2-7:390;2-8:420,7-8:1330,2-7-8:1340,7-8-2:4940
2026-07-05,函館,8,02261808,4:210,4:110;2:140;1:170,,2-4:650,2-4:230;1-4:340;1-2:370,4-2:1060,1-2-4:1030,4-2-1:4500
2026-07-05,函館,9,02261809,16:860,16:240;3:780;6:170,2-8:8500,3-16:24480,3-16:6670;6-16:460;3-6:2680,16-3:36500,3-6-16:17830,16-3-6:180730
2026-07-05,函館,10,02261810,1:180,1:110;7:170;11:230,1-6:440,1-7:670,1-7:300;1-11:450;7-11:700,1-7:1060,1-7-11:1650,1-7-11:5110
2026-07-05,函館,11,02261811,11:510,11:210;6:340;7:230,6-8:660,6-11:3870,6-11:1260;7-11:650;6-7:1650,11-6:7780,6-7-11:7370,11-6-7:41770
2026-07-05,函館,12,02261812,4:230,4:110;7:190;10:190,4-7:780,4-7:760,4-7:320;4-10:350;7-10:900,4-7:1100,4-7-10:1920,4-7-10:5450
2026-07-05,福島,1,03262401,10:800,10:240;11:390;5:200,6-6:4130,10-11:4360,10-11:1310;5-10:690;5-11:740,10-11:7780,5-10-11:4680,10-11-5:36570
2026-07-05,福島,2,03262402,8:540,8:190;2:320;11:150,1-4:1920,2-8:3780,2-8:1110;8-11:570;2-11:1150,8-2:6680,2-8-11:5870,8-2-11:43450
2026-07-05,福島,3,03262403,5:430,5:150;14:140;3:190,3-7:690,5-14:720,5-14:310;3-5:560;3-14:430,5-14:1240,3-5-14:1710,5-14-3:7700
2026-07-05,福島,4,03262404,10:290,10:150;8:420;15:190,4-5:420,8-10:4030,8-10:1250;10-15:480;8-15:2350,10-8:5710,8-10-15:7270,10-8-15:42260
2026-07-05,福島,5,03262405,5:330,5:170;12:880;14:580,3-6:670,5-12:5810,5-12:1770;5-14:1410;12-14:7870,5-12:6900,5-12-14:40720,5-12-14:184060
2026-07-05,福島,6,03262406,10:890,10:260;8:180;9:240,6-7:1230,8-10:1400,8-10:560;9-10:1140;8-9:680,10-8:3430,8-9-10:4000,10-8-9:25910
2026-07-05,福島,7,03262407,6:270,6:150;12:570;3:170,4-7:2720,6-12:3230,6-12:1130;3-6:360;3-12:1820,6-12:4750,3-6-12:4980,6-12-3:21040
2026-07-05,福島,8,03262408,6:540,6:160;4:200;1:110,4-5:2580,4-6:2280,4-6:630;1-6:270;1-4:330,6-4:4500,1-4-6:1380,6-4-1:12090
2026-07-05,福島,9,03262409,13:690,13:240;11:260;9:180,6-7:960,11-13:3110,11-13:1140;9-13:650;9-11:650,13-11:4960,9-11-13:3510,13-11-9:28580
2026-07-05,福島,10,03262410,5:130,5:110;1:210;4:290,1-5:780,1-5:700,1-5:310;4-5:380;1-4:1390,5-1:830,1-4-5:2200,5-1-4:5850
2026-07-05,福島,11,03262411,7:970,7:320;8:260;1:170,4-5:1150,7-8:6520,7-8:1890;1-7:1550;1-8:760,7-8:11380,1-7-8:12340,7-8-1:78470
2026-07-05,福島,12,03262412,8:1290,8:350;5:210;13:410,3-5:1190,5-8:2570,5-8:1030;8-13:2160;5-13:1490,8-5:6030,5-8-13:14300,8-5-13:79660
2026-07-05,小倉,1,10262401,12:600,12:180;3:200;2:250,3-8:1160,3-12:1770,3-12:590;2-12:750;2-3:830,12-3:3510,2-3-12:3960,12-3-2:21980
2026-07-05,小倉,2,10262402,10:180,10:110;7:320;8:450,4-5:680,7-10:1330,7-10:600;8-10:640;7-8:2440,10-7:1850,7-8-10:5940,10-7-8:17860
2026-07-05,小倉,3,10262403,5:3930,5:1330;12:2190;6:1060,3-6:8260,5-12:232680,5-12:41540;5-6:11110;6-12:30210,5-12:322040,5-6-12:759520,5-12-6:6681340
2026-07-05,小倉,4,10262404,6:1220,6:350;5:300;4:250,4-4:4930,5-6:4710,5-6:1220;4-6:1100;4-5:800,6-5:10960,4-5-6:6800,6-5-4:47380
2026-07-05,小倉,5,10262405,1:1410,1:350;11:530;8:320,1-8:7530,1-11:11550,1-11:2400;1-8:1330;8-11:2350,1-11:28040,1-8-11:30760,1-11-8:278230
2026-07-05,小倉,6,10262406,1:270,1:130;7:150;9:120,1-6:580,1-7:980,1-7:390;1-9:260;7-9:310,1-7:960,1-7-9:970,1-7-9:5120
2026-07-05,小倉,7,10262407,1:450,1:200;13:680;7:230,1-7:430,1-13:12070,1-13:3050;1-7:680;7-13:2440,1-13:16550,1-7-13:21020,1-13-7:127440
2026-07-05,小倉,8,10262408,3:630,3:190;9:350;5:150,3-8:1070,3-9:6630,3-9:1520;3-5:450;5-9:1150,3-9:9250,3-5-9:7550,3-9-5:55650
2026-07-05,小倉,9,10262409,5:170,5:110;2:110;6:120,,2-5:190,2-5:120;5-6:170;2-6:180,5-2:290,2-5-6:250,5-2-6:610
2026-07-05,小倉,10,10262410,9:310,9:170;14:1070;13:590,5-7:3530,9-14:6720,9-14:2280;9-13:1890;13-14:6160,9-14:8360,9-13-14:46990,9-14-13:146370
2026-07-05,小倉,11,10262411,12:300,12:160;2:410;9:230,2-8:3560,2-12:3930,2-12:1250;9-12:530;2-9:1830,12-2:5560,2-9-12:9440,12-2-9:41430
